City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,poyang,28.9924,116.6675,298.91,85,100,2.81,CN,1691611319
109,antalaha,-14.9003,50.2788,292.45,90,7,2.96,MG,1691611319
110,padang,-0.9492,100.3543,296.5,95,65,2.0,ID,1691611246
111,gomez farias,23.05,-99.15,311.21,29,0,4.54,MX,1691611320
112,sinabang,2.4803,96.3801,298.53,88,100,4.87,ID,1691611320
113,hilo,19.7297,-155.09,301.64,95,86,2.39,US,1691611282
114,zhumysker,49.3333,49.4,299.71,35,19,4.88,KZ,1691611320
115,iskateley,67.6803,53.1512,286.16,81,44,2.3,RU,1691611320
116,ambalangoda,6.2355,80.0538,299.41,87,100,2.65,LK,1691611320
117,alofi,-19.0595,-169.9187,299.09,94,50,1.03,NU,1691611116
118,nova sintra,14.8667,-24.7167,296.18,73,54,7.86,CV,1691611321
119,college,64.8569,-147.8028,291.98,85,100,0.0,US,1691611249
120,port-vila,-17.7338,168.3219,291.93,82,100,0.0,VU,1691611321
121,chimore,-16.9833,-65.1333,307.26,33,17,2.47,BO,1691611321
122,przeworsk,50.0591,22.4941,288.17,91,100,1.87,PL,1691611150
123,ancud,-41.8697,-73.8203,284.1,92,100,14.73,CL,1691611236
124,candelaria,13.9311,121.4233,301.14,94,78,2.42,PH,1691611321
125,rudnichnyy,59.617,52.4703,287.79,73,61,1.28,RU,1691611321
126,simpang,-1.2667,104.0833,296.72,91,85,1.2,ID,1691611322
127,crane,31.3974,-102.3501,312.97,16,0,2.37,US,1691611322
128,palmas,-10.2128,-48.3603,308.08,34,40,2.57,BR,1691611322
129,aras-asan,8.8908,126.3033,298.33,87,100,2.99,PH,1691611323
130,tralee,52.2704,-9.7026,295.29,73,20,3.09,IE,1691611323
131,lamu,-2.2717,40.902,297.27,84,22,6.6,KE,1691611323
132,keflavik,64.0049,-22.5624,289.1,67,75,5.66,IS,1691611324
133,roma,43.2128,-75.4557,300.83,56,40,7.2,US,1691611141
134,klyuchi,52.2667,79.1667,293.63,44,89,2.62,RU,1691611324
135,haiku-pauwela,20.9219,-156.3051,299.84,71,96,6.26,US,1691611326
136,longyearbyen,78.2186,15.6401,284.06,54,0,0.51,SJ,1691611327
137,avarua,-21.2078,-159.775,296.18,73,100,6.69,CK,1691611038
138,westport,41.1415,-73.3579,303.68,47,75,7.2,US,1691611047
139,porto novo,6.4965,2.6036,299.05,87,100,4.19,BJ,1691611328
140,tirumullaivasal,11.2333,79.8333,301.55,73,100,2.4,IN,1691611328
141,egilsstadir,65.2653,-14.3948,283.1,66,75,2.57,IS,1691611328
142,aasiaat,68.7098,-52.8699,277.92,78,20,3.71,GL,1691611328
143,saiha,22.4833,92.9667,295.04,99,100,0.54,IN,1691611328
144,kudat,6.8837,116.8477,299.11,78,20,2.68,MY,1691611350
145,kodiak,57.79,-152.4072,284.88,100,100,2.06,US,1691611350
146,ambon,-3.6954,128.1814,299.19,16,100,6.43,ID,1691611366
147,malvan,16.0667,73.4667,299.6,82,100,2.99,IN,1691611366
148,solnechnyy,50.7214,136.6319,285.9,88,100,2.49,RU,1691611366
149,calingasta,-31.3308,-69.4078,299.11,5,76,5.39,AR,1691611367
150,fortuna,40.5982,-124.1573,295.89,75,100,5.66,US,1691611152
151,paita,-5.0892,-81.1144,297.11,73,94,7.57,PE,1691611368
152,vadso,70.0744,29.7487,296.64,73,20,5.14,NO,1691611383
153,tchintabaraden,15.8969,5.7985,305.34,46,14,6.53,NE,1691611384
154,ahtari,62.554,24.0619,288.26,70,95,1.85,FI,1691611386
155,isafjordur,66.0755,-23.124,286.17,47,0,6.17,IS,1691611386
156,badger,64.8,-147.5333,293.99,86,75,0.45,US,1691611386
157,chicoana,-25.1009,-65.5331,298.18,20,52,2.9,AR,1691611386
